term	gene	pc1_corr	pc1_corr_pval	rank
NEST:35	CDC73	-0.3193	0.0000	3
NEST:35	ZRSR2	0.2833	0.0000	4
NEST:35	RBM10	-0.1935	0.0000	5
NEST:38	TP53	-0.5121	0.0000	1
NEST:38	CDKN1B	0.1406	0.0000	2
NEST:38	SRC	-0.1107	0.0000	3
NEST:38	IFNGR1	0.0900	0.0000	4
NEST:38	AKT1	0.0860	0.0000	5
NEST:38	ABL1	0.0488	0.0027	6
NEST:38	MAP2K2	0.0472	0.0037	7
NEST:38	GSK3B	0.0443	0.0064	8
NEST:38	CRKL	-0.0389	0.0169	9
NEST:38	TSC2	-0.0380	0.0196	10
NEST:38	SYK	-0.0324	0.0466	11
NEST:38	STAT5B	0.0230	0.1575	12
NEST:38	FYN	-0.0188	0.2488	13
NEST:38	BTK	-0.0071	0.6608	14
NEST:38	RASA1	0.0029	0.8599	15
NEST:39	SPEN	0.6653	0.0000	1
NEST:39	SRSF2	0.4596	0.0000	2
NEST:39	CASP8	-0.3390	0.0000	3
NEST:39	U2AF1	0.3243	0.0000	4
NEST:39	RBM10	0.2681	0.0000	5
NEST:4	ELOC	0.1139	0.0000	1
NEST:4	SLX4	0.0384	0.0181	2
NEST:4	DCUN1D1	0.0310	0.0565	3
NEST:4	DROSHA	-0.0306	0.0601	4
NEST:4	RXRA	0.0285	0.0797	5
NEST:4	CUL3	-0.0266	0.1024	6
NEST:4	CARM1	0.0218	0.1797	7
NEST:4	PNRC1	0.0191	0.2411	8
NEST:4	RAD50	0.0167	0.3055	9
NEST:4	RAF1	-0.0120	0.4593	10
NEST:42	KMT2A	0.5797	0.0000	1
NEST:42	TERT	-0.4234	0.0000	2
NEST:42	DNMT3A	0.3478	0.0000	3
NEST:42	SETD2	0.3374	0.0000	4
NEST:42	CDC73	0.3105	0.0000	5
NEST:42	PTPN11	-0.1896	0.0000	6
NEST:44	GATA3	-0.8931	0.0000	1
NEST:44	TERT	0.2721	0.0000	2
NEST:44	XPO1	0.1575	0.0000	3
NEST:44	DAXX	0.1476	0.0000	4
NEST:44	NUP93	-0.1391	0.0000	5
NEST:44	MSI1	-0.0642	0.0001	6
NEST:45	AGO2	-0.3501	0.0000	1
NEST:45	DICER1	0.1555	0.0000	2
NEST:45	PNRC1	-0.0415	0.0108	3
NEST:47	TP53	-0.7976	0.0000	1
NEST:47	MCL1	-0.3764	0.0000	2
NEST:47	TBX3	0.2853	0.0000	3
NEST:47	PARP1	-0.2112	0.0000	4
NEST:47	CASP8	0.1773	0.0000	5
NEST:47	BCL2L1	-0.1573	0.0000	6
NEST:47	IFNGR1	0.1525	0.0000	7
NEST:47	BCL2	0.0592	0.0003	8
NEST:5	NF2	-0.1526	0.0000	1
NEST:5	CSF1R	-0.0560	0.0006	2
NEST:5	PLK2	0.0382	0.0189	3
NEST:5	PDGFRA	0.0335	0.0394	4
NEST:5	ERRFI1	0.0324	0.0466	5
NEST:5	FOXP1	-0.0298	0.0675	6
NEST:5	ABL1	-0.0187	0.2501	7
NEST:5	PAK5	0.0068	0.6778	8
NEST:5	CUL3	0.0056	0.7329	9
NEST:50	TERT	0.0518	0.0014	1
NEST:50	MSH6	0.0342	0.0354	2
NEST:50	MSH2	-0.0296	0.0692	3
NEST:52	CCND1	0.4824	0.0000	1
NEST:52	PTEN	0.4447	0.0000	2
NEST:52	PIK3CA	0.3953	0.0000	3
NEST:52	SMAD4	-0.2428	0.0000	4
NEST:52	IGF1R	0.1904	0.0000	5
NEST:52	PIK3R2	-0.1868	0.0000	6
NEST:52	RARA	-0.1538	0.0000	7
NEST:52	INSR	0.1356	0.0000	8
NEST:52	PIK3CD	-0.1335	0.0000	9
NEST:52	PIK3R3	-0.1204	0.0000	10
NEST:52	FOXO1	0.1101	0.0000	11
NEST:52	PIK3R1	-0.0979	0.0000	12
NEST:52	ALK	-0.0861	0.0000	13
NEST:52	ACVR1	0.0805	0.0000	14
NEST:52	IRS2	-0.0703	0.0000	15
NEST:52	AKT3	0.0539	0.0009	16
NEST:52	BMPR1A	0.0536	0.0010	17
NEST:52	TGFBR2	-0.0414	0.0109	18
NEST:52	TGFBR1	0.0279	0.0867	19
